Period,Number,Premium,Big/Small
20250425100011440,9,47469,B
20250425100011439,1,39701,S
20250425100011438,6,33886,B
20250425100011437,7,54617,B
20250425100011436,5,92825,B
20250425100011435,2,72342,S
20250425100011434,3,39683,S
20250425100011433,3,67853,S
20250425100011432,0,32090,S
20250425100011431,9,72659,B
20250425100011430,6,22436,B
20250425100011429,6,67646,B
20250425100011428,6,36136,B
20250425100011427,6,80696,B
20250425100011426,2,17942,S
20250425100011425,9,23859,B
20250425100011424,5,42695,B
20250425100011423,4,71044,S
20250425100011422,7,64177,B
20250425100011421,9,67749,B
20250425100011420,7,29947,B
20250425100011419,6,69016,B
20250425100011418,0,98480,S
20250425100011417,2,95082,S
20250425100011416,4,62164,S
20250425100011415,7,12197,B
20250425100011414,2,48222,S
20250425100011413,0,11720,S
20250425100011412,1,21791,S
20250425100011411,5,93845,B
20250425100011410,4,91594,S
20250425100011409,1,37421,S
20250425100011408,4,61064,S
20250425100011407,9,90929,B
20250425100011406,5,57065,B
20250425100011405,4,86124,S
20250425100011404,6,82706,B
20250425100011403,3,14333,S
20250425100011402,7,49877,B
20250425100011401,5,42445,B
20250425100011400,7,28457,B
20250425100011399,6,85906,B
20250425100011398,8,61798,B
20250425100011397,3,24473,S
20250425100011396,4,93824,S
20250425100011395,0,40090,S
20250425100011394,4,89564,S
20250425100011393,7,22837,B
20250425100011392,8,59348,B
20250425100011391,9,53719,B
20250425100011390,8,45578,B
20250425100011389,7,83557,B
20250425100011388,0,60060,S
20250425100011387,7,57927,B
20250425100011386,1,44171,S
20250425100011385,1,31371,S
20250425100011384,0,97740,S
20250425100011383,5,98365,B
20250425100011382,2,74902,S
20250425100011381,7,42167,B
20250425100011380,2,12442,S
20250425100011379,4,71954,S
20250425100011378,7,10537,B
20250425100011377,9,34129,B
20250425100011376,5,68255,B
20250425100011375,6,57316,B
20250425100011374,2,39522,S
20250425100011373,7,78817,B
20250425100011372,2,56232,S
20250425100011371,5,61235,B
20250425100011370,4,33844,S
20250425100011369,2,59692,S
20250425100011368,6,21526,B
20250425100011367,4,43224,S
20250425100011366,9,42539,B
20250425100011365,2,40562,S
20250425100011364,2,56892,S
20250425100011363,2,72962,S
20250425100011362,3,38513,S
20250425100011361,4,51404,S
20250425100011360,5,85885,B
20250425100011359,5,36465,B
20250425100011358,4,91534,S
20250425100011357,7,29297,B
20250425100011356,9,90559,B
20250425100011355,8,37908,B
20250425100011354,6,17876,B
20250425100011353,1,82901,S
20250425100011352,1,80551,S
20250425100011351,6,75046,B
20250425100011350,1,32621,S
20250425100011349,7,36637,B
20250425100011348,1,29181,S
20250425100011347,0,60460,S
20250425100011346,2,35502,S
20250425100011345,6,97226,B
20250425100011344,3,11933,S
20250425100011343,1,62621,S
20250425100011342,9,84439,B
20250425100011341,3,84733,S
20250425100011340,4,95224,S
20250425100011339,1,67191,S
20250425100011338,1,25481,S
20250425100011337,4,25694,S
20250425100011336,6,68516,B
20250425100011335,5,77015,B
20250425100011334,4,35154,S
20250425100011333,4,97954,S
20250425100011332,8,25358,B
20250425100011331,8,87238,B
20250425100011330,8,27068,B
20250425100011329,0,55440,S
20250425100011328,6,32766,B
20250425100011327,9,44829,B
20250425100011326,3,36513,S
20250425100011325,9,68809,B
20250425100011324,6,27886,B
20250425100011323,1,25261,S
20250425100011322,8,21838,B
20250425100011321,9,37339,B
20250425100011320,9,88609,B
20250425100011319,7,42057,B
20250425100011318,8,14238,B
20250425100011317,0,40030,S
20250425100011316,3,62943,S
20250425100011315,2,60752,S
20250425100011314,9,38469,B
20250425100011313,5,37035,B
20250425100011312,5,82235,B
20250425100011311,6,52926,B
20250425100011310,8,14198,B
20250425100011309,0,95960,S
20250425100011308,4,89454,S
20250425100011307,2,20102,S
20250425100011306,9,74299,B
20250425100011305,8,16848,B
20250425100011304,4,62934,S
20250425100011303,6,24446,B
20250425100011302,9,81089,B
20250425100011301,0,40440,S
20250425100011300,5,58115,B
20250425100011299,5,98325,B
20250425100011298,1,19891,S
20250425100011297,1,87241,S
20250425100011296,5,21585,B
20250425100011295,4,41954,S
20250425100011294,7,45107,B
20250425100011293,9,77689,B
20250425100011292,0,14950,S
20250425100011291,1,94701,S
20250425100011290,1,20601,S
20250425100011289,3,19823,S
20250425100011288,7,59687,B
20250425100011287,1,36521,S
20250425100011286,5,86475,B
20250425100011285,9,18839,B
20250425100011284,4,44644,S
20250425100011283,0,54420,S
20250425100011282,7,53717,B
20250425100011281,9,44859,B
20250425100011280,3,49343,S
20250425100011279,6,89106,B
20250425100011278,5,78615,B
20250425100011277,9,91749,B
20250425100011276,3,45353,S
20250425100011275,6,35306,B
20250425100011274,7,26417,B
